100% 16 26.7519 4753.39 177.685
100% 14 26.7142 4525.42 169.401
100% 12 26.8212 4167.97 155.398
100% 10 27.216 3871.11 142.236
100% 8 28.6248 3672.05 128.282
100% 6 33.1627 3722.9 112.262
100% 4 45.686 4243.57 92.8855
100% 2 87.5648 6308.18 72.0401
 
93.75% 16 27.031 4303.87 159.22
93.75% 14 27.0139 4086.32 151.267
93.75% 12 27.1877 3821.09 140.545
93.75% 10 27.6885 3578.54 129.243
93.75% 8 29.3943 3446.8 117.261
93.75% 6 34.7882 3557.9 102.273
93.75% 4 48.5188 4132.43 85.1718
93.75% 2 93.5167 6232.45 66.6453
 
87.5% 16 27.5181 3932.25 142.897
87.5% 14 27.5374 3754.15 136.329
87.5% 12 27.7955 3535.32 127.19
87.5% 10 28.4372 3339.37 117.429
87.5% 8 30.5492 3257.58 106.634
87.5% 6 36.8565 3434.39 93.1827
87.5% 4 51.8951 4050.96 78.0605
87.5% 2 100.457 6204.35 61.7615
 
81.25% 16 28.4521 3656.37 128.51
81.25% 14 28.5858 3511.94 122.856
81.25% 12 28.9179 3322.89 114.908
81.25% 10 29.7159 3170.72 106.701
81.25% 8 32.3003 3130.78 96.9273
81.25% 6 39.6076 3356.62 84.7468
81.25% 4 56.0042 4001.39 71.4481
81.25% 2 108.915 6237.23 57.2671
 
75% 16 29.36 3530.35 120.244
75% 14 29.4323 3404.32 115.666
75% 12 29.8041 3235.98 108.575
75% 10 30.6649 3095.52 100.947
75% 8 33.4456 3082.26 92.1574
75% 6 41.2413 3333.58 80.8312
75% 4 58.4754 3996.12 68.3385
75% 2 113.745 6262.46 55.0569
 
