100% 16 14.7413 2305.29 156.382
100% 14 13.4129 1939.64 144.618
100% 12 11.9803 1631.3 136.165
100% 10 11.0269 1378.76 125.034
100% 8 10.7023 1202.75 112.381
100% 6 10.7952 1070.14 99.1309
100% 4 11.9231 1014.41 85.0791
100% 2 19.435 1351.35 69.5314

93.75% 16 15.0384 2157.82 143.488
93.75% 14 13.6984 1825.06 133.233
93.75% 12 12.2066 1481.19 121.343
93.75% 10 11.1926 1244.15 111.159
93.75% 8 10.8903 1083.97 99.535
93.75% 6 11.0196 991.025 89.9332
93.75% 4 12.4525 971.238 77.9953
93.75% 2 20.4293 1311.7 64.2069

87.5% 16 15.0132 1864.39 124.181
87.5% 14 13.6428 1644.63 120.552
87.5% 12 12.2368 1322.76 108.099
87.5% 10 11.3125 1154.57 102.062
87.5% 8 10.9388 1001.55 91.5582
87.5% 6 11.1753 926.339 82.8918
87.5% 4 12.8528 929.484 72.3175
87.5% 2 21.541 1283.55 59.5863

81.25% 16 15.3057 1678.47 109.663
81.25% 14 14.0196 1530.04 109.135
81.25% 12 12.5413 1226.58 97.8036
81.25% 10 11.5662 1052.89 91.0316
81.25% 8 11.3209 944.561 83.435
81.25% 6 11.555 872.158 75.4792
81.25% 4 13.3274 887.77 66.6126
81.25% 2 22.9734 1273.66 55.4408

75% 16 15.2982 1602.51 104.75
75% 14 14.0947 1428.77 101.37
75% 12 12.4601 1149.38 92.2448
75% 10 11.543 1002.84 86.8787
75% 8 11.238 895.282 79.6653
75% 6 11.5127 839.094 72.8846
75% 4 13.7935 883.171 64.0281
75% 2 23.8062 1274.5 53.5357
