100% 16 14.3614 2365.55 164.714
100% 14 14.7525 2384.28 161.618
100% 12 16.1605 2357.92 145.905
100% 10 18.9304 2493.91 131.742
100% 8 23.3255 2661.33 114.097
100% 6 30.8108 2986.62 96.9344
100% 4 46.6195 3788.61 81.2666
100% 2 91.0045 5982.12 65.7344
 
93.75% 16 15.7153 2351.69 149.64
93.75% 14 15.1276 2144.53 141.762
93.75% 12 16.9303 2142.22 126.532
93.75% 10 20.008 2298.08 114.858
93.75% 8 24.7671 2501.11 100.986
93.75% 6 32.8453 2867.27 87.2961
93.75% 4 49.0284 3612.57 73.6833
93.75% 2 98.5668 5965.32 60.5209
 
87.5% 16 15.2197 2029.43 133.334
87.5% 14 16.3849 2070.96 126.395
87.5% 12 18.6078 2146.82 115.371
87.5% 10 22.1485 2273.5 102.649
87.5% 8 27.1492 2481.45 91.3997
87.5% 6 36.2388 2878.37 79.4278
87.5% 4 53.2213 3605.12 67.7383
87.5% 2 106.473 5981.37 56.1774
 
81.25% 16 17.4307 2070.35 118.776
81.25% 14 17.2988 1909.09 110.359
81.25% 12 19.8524 2032.02 102.356
81.25% 10 23.6104 2185.55 92.5673
81.25% 8 29.309 2409.75 82.2187
81.25% 6 38.9155 2802.75 72.0216
81.25% 4 59.0091 3658.68 62.0021
81.25% 2 116.021 6055.08 52.1897
 
75% 16 16.8525 1889.08 112.094
75% 14 18.4139 1962.18 106.56
75% 12 21.247 2073.45 97.5884
75% 10 25.0138 2173.06 86.8744
75% 8 31.1969 2426.3 77.7751
75% 6 41.3256 2835.31 68.6094
75% 4 61.9363 3683.19 59.4674
75% 2 123.404 6235.91 50.532
 
