100% 16 7.65221 1121.2 146.52
100% 14 8.18467 1245.79 152.209
100% 12 9.18461 1292.35 140.708
100% 10 10.8146 1351.11 124.934
100% 8 13.3546 1459.86 109.315
100% 6 17.6261 1642.12 93.1642
100% 4 26.2823 2072.61 78.8595
100% 2 51.7235 3330.05 64.3817
 
93.75% 16 8.48315 1233.27 145.378
93.75% 14 8.70112 1202.77 138.233
93.75% 12 9.89436 1274.61 128.821
93.75% 10 11.6223 1296.27 111.533
93.75% 8 14.3189 1374.53 95.9936
93.75% 6 18.854 1582.51 83.9347
93.75% 4 27.9519 1986.13 71.0553
93.75% 2 55.9775 3321.6 59.3382
 
87.5% 16 8.48359 1143.87 134.832
87.5% 14 9.26228 1127.29 121.707
87.5% 12 10.5914 1192.97 112.635
87.5% 10 12.5464 1211.88 96.5911
87.5% 8 15.591 1367.52 87.7119
87.5% 6 20.639 1575.94 76.3575
87.5% 4 30.418 1999.09 65.7207
87.5% 2 60.8165 3350.51 55.0922
 
81.25% 16 9.73434 1119.69 115.025
81.25% 14 10.1172 1150.23 113.686
81.25% 12 11.5935 1141.88 98.4931
81.25% 10 13.7029 1208.02 88.1583
81.25% 8 16.9709 1334.07 78.6095
81.25% 6 22.3762 1554.74 69.4819
81.25% 4 33.7196 2031.1 60.2349
81.25% 2 66.2285 3399.09 51.3232
 
75% 16 9.67634 1064.49 110.007
75% 14 10.4664 1041.48 99.5071
75% 12 12.0522 1107.98 91.9323
75% 10 14.3614 1181.63 82.2777
75% 8 17.8824 1338.97 74.8765
75% 6 23.7052 1568.27 66.1572
75% 4 35.2283 2035.15 57.77
75% 2 70.1371 3483.28 49.6638
 
